Raw Image,Processed Image,MSE,PSNR,SSIM
Untitled 1159.jpg,cleaned_Untitled 1159.jpg,69.2863016,29.72432981,0.979946814
Untitled 1162.jpg,cleaned_Untitled 1162.jpg,74.62660229,29.40186692,0.978159243
Untitled 1163.jpg,cleaned_Untitled 1163.jpg,68.09244248,29.79981448,0.980643523
Untitled 1165.jpg,cleaned_Untitled 1165.jpg,73.14303955,29.48907357,0.979223454
Untitled 1168.jpg,cleaned_Untitled 1168.jpg,89.14597936,28.629786,0.976636106
Untitled 1169.jpg,cleaned_Untitled 1169.jpg,76.7738872,29.27866831,0.979131485
Untitled 1174.jpg,cleaned_Untitled 1174.jpg,74.93307764,29.38406791,0.979339132
Untitled 1176.jpg,cleaned_Untitled 1176.jpg,61.38138655,30.25043666,0.982425252
Untitled 1177.jpg,cleaned_Untitled 1177.jpg,66.33338432,29.91348205,0.982063739
Untitled 1178.jpg,cleaned_Untitled 1178.jpg,68.40292711,29.78005674,0.981035649
Untitled 1179.jpg,cleaned_Untitled 1179.jpg,74.44262275,29.41258695,0.979671597
Untitled 1180.jpg,cleaned_Untitled 1180.jpg,64.69189264,30.02230504,0.980988972
Untitled 1182.jpg,cleaned_Untitled 1182.jpg,64.95184859,30.00488845,0.981805961
Untitled 1183.jpg,cleaned_Untitled 1183.jpg,68.30451992,29.78630918,0.981027022
Untitled 1186.jpg,cleaned_Untitled 1186.jpg,65.81008037,29.9478794,0.982464097
Untitled 1192.jpg,cleaned_Untitled 1192.jpg,67.76367429,29.82083415,0.980670963
Untitled 1197.jpg,cleaned_Untitled 1197.jpg,77.21594542,29.25373368,0.97886703
Untitled 1198.jpg,cleaned_Untitled 1198.jpg,69.54635417,29.70805993,0.980304532
Untitled 1200.jpg,cleaned_Untitled 1200.jpg,70.1233724,29.67217567,0.980310539
Untitled 1201.jpg,cleaned_Untitled 1201.jpg,61.86762756,30.21616898,0.982170933
Untitled 1202.jpg,cleaned_Untitled 1202.jpg,53.94914426,30.81095801,0.985596035
Untitled 1203.jpg,cleaned_Untitled 1203.jpg,70.62526528,29.64120269,0.979877766
Untitled 1209.jpg,cleaned_Untitled 1209.jpg,68.33647902,29.78427762,0.981505344
Untitled 1211.jpg,cleaned_Untitled 1211.jpg,64.85761901,30.0111936,0.982574659
Untitled 1220.jpg,cleaned_Untitled 1220.jpg,29.43132865,33.44270492,0.989982289
Untitled 1222.jpg,cleaned_Untitled 1222.jpg,64.5116564,30.03442168,0.982380806
Untitled 1223.jpg,cleaned_Untitled 1223.jpg,60.55869549,30.30903849,0.982988968
Untitled 1224.jpg,cleaned_Untitled 1224.jpg,51.78597496,30.98868204,0.986035278
Untitled 1225.jpg,cleaned_Untitled 1225.jpg,75.66332104,29.34194961,0.978689733
Untitled 1227.jpg,cleaned_Untitled 1227.jpg,69.7380975,29.69610266,0.980739284
Untitled 1230.jpg,cleaned_Untitled 1230.jpg,63.10196342,30.13037488,0.982205086
Untitled 1245.jpg,cleaned_Untitled 1245.jpg,76.81615661,29.27627787,0.977351458
Untitled 1249.jpg,cleaned_Untitled 1249.jpg,77.20554053,29.25431893,0.977313268
Untitled 1252.jpg,cleaned_Untitled 1252.jpg,77.32115474,29.2478203,0.976893053
Untitled 1253.jpg,cleaned_Untitled 1253.jpg,80.16218626,29.09110808,0.977830859
Untitled 1254.jpg,cleaned_Untitled 1254.jpg,78.87711054,29.16129368,0.977366009
Untitled 1260.jpg,cleaned_Untitled 1260.jpg,97.12345413,28.25756241,0.967281282
Untitled 1267.jpg,cleaned_Untitled 1267.jpg,78.7928503,29.1659355,0.978505694
Untitled 1271.jpg,cleaned_Untitled 1271.jpg,78.65049062,29.17378925,0.977145535
Untitled 1272.jpg,cleaned_Untitled 1272.jpg,78.10625045,29.20394571,0.976898783
Untitled 1273.jpg,cleaned_Untitled 1273.jpg,86.05078839,28.78325507,0.976325059
Untitled 1275.jpg,cleaned_Untitled 1275.jpg,87.12022654,28.72961365,0.975672297
Untitled 1283.jpg,cleaned_Untitled 1283.jpg,80.25073085,29.08631365,0.977756677
Untitled 1284.jpg,cleaned_Untitled 1284.jpg,77.5870138,29.23291324,0.977345217
Untitled 1285.jpg,cleaned_Untitled 1285.jpg,78.38474988,29.18848784,0.977313974
Untitled 1286.jpg,cleaned_Untitled 1286.jpg,78.55549668,29.17903782,0.97724837
Untitled 1289.jpg,cleaned_Untitled 1289.jpg,84.1989264,28.87773807,0.97647736
Untitled 1290.jpg,cleaned_Untitled 1290.jpg,84.38959092,28.86791479,0.975620311
Untitled 1291.jpg,cleaned_Untitled 1291.jpg,74.85785601,29.38842976,0.97891896
Untitled 1301.jpg,cleaned_Untitled 1301.jpg,79.48327148,29.12804627,0.97844871
Untitled 1305.jpg,cleaned_Untitled 1305.jpg,82.91038385,28.94471435,0.975868792
Untitled 1307.jpg,cleaned_Untitled 1307.jpg,97.7605403,28.22916768,0.96412991
Untitled 1308.jpg,cleaned_Untitled 1308.jpg,104.9944144,27.91914165,0.960915623
Untitled 4863.jpg,cleaned_Untitled 4863.jpg,75.94647058,29.32572765,0.977410066
Untitled 4864.jpg,cleaned_Untitled 4864.jpg,85.01585894,28.83580414,0.975581604
Untitled 4869.jpg,cleaned_Untitled 4869.jpg,76.50233529,29.29405668,0.977090146
Untitled 4870.jpg,cleaned_Untitled 4870.jpg,80.47202549,29.07435428,0.9776266
Untitled 4871.jpg,cleaned_Untitled 4871.jpg,84.61718998,28.85621762,0.976223748
Untitled 4872.jpg,cleaned_Untitled 4872.jpg,80.29993617,29.08365161,0.977880839
Untitled 4873.jpg,cleaned_Untitled 4873.jpg,86.12752337,28.77938402,0.976236668
Untitled 4875.jpg,cleaned_Untitled 4875.jpg,85.9605037,28.78781409,0.975937416
Untitled 4877.jpg,cleaned_Untitled 4877.jpg,100.3925947,28.11378682,0.971282389
Untitled 4878.jpg,cleaned_Untitled 4878.jpg,88.61314795,28.65582196,0.975660149
Untitled 4879.jpg,cleaned_Untitled 4879.jpg,93.3569363,28.4293377,0.974016745
Untitled 4880.jpg,cleaned_Untitled 4880.jpg,107.8114641,27.80415417,0.968874425
Untitled 4881.jpg,cleaned_Untitled 4881.jpg,79.88422309,29.10619345,0.978000127
Untitled 4882.jpg,cleaned_Untitled 4882.jpg,79.72020969,29.11511928,0.978143714
Untitled 4883.jpg,cleaned_Untitled 4883.jpg,86.88500251,28.74135543,0.975024306
Untitled 4884.jpg,cleaned_Untitled 4884.jpg,93.43509078,28.42570349,0.973617807
Untitled 4886.jpg,cleaned_Untitled 4886.jpg,110.8165604,27.68475695,0.966880699
Untitled 4887.jpg,cleaned_Untitled 4887.jpg,89.68020679,28.6038376,0.97301188
Untitled 4893.jpg,cleaned_Untitled 4893.jpg,77.79503062,29.22128505,0.978227284
Untitled 4894.jpg,cleaned_Untitled 4894.jpg,82.21171102,28.98146674,0.977621938
Untitled 4895.jpg,cleaned_Untitled 4895.jpg,90.67852206,28.55575928,0.975430996
Untitled 4897.jpg,cleaned_Untitled 4897.jpg,111.7865241,27.64690908,0.968729161
Untitled 4899.jpg,cleaned_Untitled 4899.jpg,82.84210183,28.94829252,0.977609417
Untitled 4900.jpg,cleaned_Untitled 4900.jpg,92.58375087,28.46545589,0.974996699
Untitled 4901.jpg,cleaned_Untitled 4901.jpg,110.6007013,27.6932248,0.967442228
Untitled 4902.jpg,cleaned_Untitled 4902.jpg,91.44062769,28.51941162,0.97546732
Untitled 4907.jpg,cleaned_Untitled 4907.jpg,113.4174977,27.584003,0.969152972
Untitled 4909.jpg,cleaned_Untitled 4909.jpg,113.7567151,27.57103318,0.967224922
Untitled 4910.jpg,cleaned_Untitled 4910.jpg,88.95976029,28.63886757,0.973700471
Untitled 4913.jpg,cleaned_Untitled 4913.jpg,95.52043945,28.32984049,0.970558228
Untitled 4914.jpg,cleaned_Untitled 4914.jpg,91.88972307,28.49813418,0.97442114
Untitled 4915.jpg,cleaned_Untitled 4915.jpg,103.0339894,28.00099845,0.970482638
Untitled 4916.jpg,cleaned_Untitled 4916.jpg,98.28732436,28.20582848,0.971190648
Untitled 4922.jpg,cleaned_Untitled 4922.jpg,85.52285001,28.80998196,0.976436526
Untitled 4923.jpg,cleaned_Untitled 4923.jpg,74.87673163,29.38733482,0.97897294
Untitled 4924.jpg,cleaned_Untitled 4924.jpg,100.0384784,28.12913284,0.971539781
Untitled 4925.jpg,cleaned_Untitled 4925.jpg,113.2276081,27.59128028,0.970184842
Untitled 4927.jpg,cleaned_Untitled 4927.jpg,102.6224527,28.01837971,0.971741331
Untitled 4928.jpg,cleaned_Untitled 4928.jpg,78.65234705,29.17368674,0.976654709
Untitled 4929.jpg,cleaned_Untitled 4929.jpg,80.57893428,29.06858842,0.977533695
Untitled 4931.jpg,cleaned_Untitled 4931.jpg,75.09377153,29.37476444,0.978988537
Untitled 4934.jpg,cleaned_Untitled 4934.jpg,79.28029049,29.13915128,0.977183681
Untitled 4935.jpg,cleaned_Untitled 4935.jpg,85.48671212,28.81181747,0.975893921
Untitled 4936.jpg,cleaned_Untitled 4936.jpg,80.33242455,29.08189486,0.977626488
Untitled 4937.jpg,cleaned_Untitled 4937.jpg,79.32745541,29.13656837,0.977026513
Untitled 4943.jpg,cleaned_Untitled 4943.jpg,79.19334211,29.14391689,0.976921424
Untitled 4944.jpg,cleaned_Untitled 4944.jpg,80.01656059,29.09900481,0.977949926
Untitled 4945.jpg,cleaned_Untitled 4945.jpg,78.26864454,29.19492548,0.977568668
Untitled 4946.jpg,cleaned_Untitled 4946.jpg,87.55704789,28.70789251,0.974684985
Untitled 4947.jpg,cleaned_Untitled 4947.jpg,80.44760554,29.07567239,0.977118258
Untitled 4948.jpg,cleaned_Untitled 4948.jpg,80.11184301,29.09383638,0.977476986
Untitled 4952.jpg,cleaned_Untitled 4952.jpg,85.98273357,28.78669113,0.975974862
Untitled 4958.jpg,cleaned_Untitled 4958.jpg,77.4767232,29.23909116,0.97836961
Untitled 4959.jpg,cleaned_Untitled 4959.jpg,75.48561039,29.3521619,0.978738172
Untitled 4960.jpg,cleaned_Untitled 4960.jpg,79.13687915,29.14701441,0.976863568
Untitled 4965.jpg,cleaned_Untitled 4965.jpg,76.64676738,29.28586518,0.979016098
Untitled 4968.jpg,cleaned_Untitled 4968.jpg,82.2545694,28.97920328,0.977091338
Untitled 4969.jpg,cleaned_Untitled 4969.jpg,87.84282467,28.69374068,0.975553124
Untitled 4970.jpg,cleaned_Untitled 4970.jpg,87.20869779,28.72520559,0.975173691
Untitled 4973.jpg,cleaned_Untitled 4973.jpg,85.16289401,28.8282995,0.975485313
Untitled 4974.jpg,cleaned_Untitled 4974.jpg,84.60326056,28.8569326,0.976245717
Untitled 4976.jpg,cleaned_Untitled 4976.jpg,80.28273553,29.08458199,0.977830548
Untitled 4982.jpg,cleaned_Untitled 4982.jpg,95.88255935,28.31340743,0.972849853
Untitled 4983.jpg,cleaned_Untitled 4983.jpg,101.8881683,28.04956606,0.970996926
Untitled 4984.jpg,cleaned_Untitled 4984.jpg,84.1266253,28.88146893,0.977068736
Untitled 4985.jpg,cleaned_Untitled 4985.jpg,85.29259665,28.82169025,0.975847121
Untitled 4987.jpg,cleaned_Untitled 4987.jpg,85.57299383,28.80743635,0.976404689
Untitled 4989.jpg,cleaned_Untitled 4989.jpg,95.13071963,28.34759579,0.972061831
Untitled 4993.jpg,cleaned_Untitled 4993.jpg,86.14871179,28.77831573,0.976036876
Untitled 4999.jpg,cleaned_Untitled 4999.jpg,94.30279402,28.38555801,0.973787444
Untitled 5001.jpg,cleaned_Untitled 5001.jpg,102.5774988,28.02028256,0.968793882
Untitled 5004.jpg,cleaned_Untitled 5004.jpg,90.77786295,28.55100406,0.97487671
Untitled 5016.jpg,cleaned_Untitled 5016.jpg,108.3713077,27.78166047,0.968796855
Untitled 5017.jpg,cleaned_Untitled 5017.jpg,90.12179674,28.58250519,0.973961718
Untitled 5018.jpg,cleaned_Untitled 5018.jpg,89.64053487,28.60575922,0.97453674
Untitled 5022.jpg,cleaned_Untitled 5022.jpg,98.63606939,28.19044603,0.970955683
Untitled 5023.jpg,cleaned_Untitled 5023.jpg,96.7809903,28.27290299,0.972777218
Untitled 5027.jpg,cleaned_Untitled 5027.jpg,85.44890729,28.81373847,0.976685705
Untitled 5028.jpg,cleaned_Untitled 5028.jpg,86.98840793,28.73618978,0.974849939
Untitled 5029.jpg,cleaned_Untitled 5029.jpg,102.8301974,28.00959691,0.970728223
Untitled 5030.jpg,cleaned_Untitled 5030.jpg,81.82049622,29.00218252,0.977581252
Untitled 5031.jpg,cleaned_Untitled 5031.jpg,78.24229831,29.19638762,0.978513211
Untitled 5032.jpg,cleaned_Untitled 5032.jpg,80.6777616,29.06326521,0.977561718
Untitled 5033.jpg,cleaned_Untitled 5033.jpg,80.69130798,29.06253606,0.977875085
Untitled 5035.jpg,cleaned_Untitled 5035.jpg,86.51269622,28.76000514,0.976672057
Untitled 5036.jpg,cleaned_Untitled 5036.jpg,75.01607361,29.37926032,0.978891283
Untitled 5037.jpg,cleaned_Untitled 5037.jpg,80.73863269,29.05998971,0.977449288
Untitled 5038.jpg,cleaned_Untitled 5038.jpg,79.27263952,29.13957042,0.977583882
Untitled 5039.jpg,cleaned_Untitled 5039.jpg,79.94593492,29.10283975,0.978143201
Untitled 5040.jpg,cleaned_Untitled 5040.jpg,74.98262812,29.38119703,0.979118625
Untitled 5042.jpg,cleaned_Untitled 5042.jpg,86.37125576,28.76711127,0.976204512
Untitled 5044.jpg,cleaned_Untitled 5044.jpg,59.17109222,30.40970775,0.977943284
Untitled 5050.jpg,cleaned_Untitled 5050.jpg,92.00127919,28.49286495,0.972314492
Untitled 5053.jpg,cleaned_Untitled 5053.jpg,106.8033399,27.84495527,0.969884217
Untitled 5055.jpg,cleaned_Untitled 5055.jpg,86.88116104,28.74154745,0.976053006
Untitled 5056.jpg,cleaned_Untitled 5056.jpg,86.08087738,28.78173676,0.976188313
Untitled 5057.jpg,cleaned_Untitled 5057.jpg,60.23255994,30.33249039,0.976691868
Untitled 5058.jpg,cleaned_Untitled 5058.jpg,61.96943155,30.20902848,0.97697953
Untitled 5059.jpg,cleaned_Untitled 5059.jpg,64.71208108,30.02094994,0.977123423
Untitled 5061.jpg,cleaned_Untitled 5061.jpg,64.68872303,30.02251783,0.975076679
Untitled 5062.jpg,cleaned_Untitled 5062.jpg,62.31535941,30.18485257,0.978005169
Untitled 5063.jpg,cleaned_Untitled 5063.jpg,62.83923504,30.14849471,0.978567167
Untitled 5064.jpg,cleaned_Untitled 5064.jpg,60.54475344,30.31003846,0.978209902
Untitled 5068.jpg,cleaned_Untitled 5068.jpg,63.6107866,30.09549595,0.977328932
Untitled 5069.jpg,cleaned_Untitled 5069.jpg,64.38272326,30.04311018,0.977183274
Untitled 5070.jpg,cleaned_Untitled 5070.jpg,56.07208505,30.64333655,0.979498517
Untitled 5071.jpg,cleaned_Untitled 5071.jpg,56.78571797,30.5884124,0.978794945
Untitled 5073.jpg,cleaned_Untitled 5073.jpg,55.56257609,30.68297988,0.981314587
Untitled 5074.jpg,cleaned_Untitled 5074.jpg,61.4970286,30.24226229,0.97746924
Untitled 5075.jpg,cleaned_Untitled 5075.jpg,59.85014137,30.3601518,0.97858666
Untitled 5077.jpg,cleaned_Untitled 5077.jpg,80.6370975,29.06545474,0.977430318
Untitled 5078.jpg,cleaned_Untitled 5078.jpg,78.77763871,29.16677402,0.978314542
Untitled 5079.jpg,cleaned_Untitled 5079.jpg,79.91985811,29.10425657,0.977436795
Untitled 5080.jpg,cleaned_Untitled 5080.jpg,79.55342448,29.12421482,0.977386067
Untitled 5081.jpg,cleaned_Untitled 5081.jpg,78.94767262,29.15741029,0.977566135
Untitled 5085.jpg,cleaned_Untitled 5085.jpg,86.5330169,28.75898516,0.976199625
Untitled 5086.jpg,cleaned_Untitled 5086.jpg,83.79700425,28.89851868,0.976178164
Untitled 5087.jpg,cleaned_Untitled 5087.jpg,87.32829738,28.71925368,0.975539134
Untitled 5088.jpg,cleaned_Untitled 5088.jpg,88.7698966,28.64814647,0.975612314
Untitled 5091.jpg,cleaned_Untitled 5091.jpg,78.53928187,29.17993435,0.978319561
Untitled 5092.jpg,cleaned_Untitled 5092.jpg,77.12930788,29.25860927,0.977044968
Untitled 5093.jpg,cleaned_Untitled 5093.jpg,80.78035778,29.05774588,0.97728989
Untitled 5094.jpg,cleaned_Untitled 5094.jpg,80.67480017,29.06342463,0.978321752
Untitled 5095.jpg,cleaned_Untitled 5095.jpg,78.32910362,29.19157204,0.97815039
Untitled 5102.jpg,cleaned_Untitled 5102.jpg,80.86168237,29.05337588,0.977858931
Untitled 5103.jpg,cleaned_Untitled 5103.jpg,86.40437433,28.76544631,0.976200918
Untitled 5107.jpg,cleaned_Untitled 5107.jpg,77.74098337,29.22430331,0.977243574
Untitled 5108.jpg,cleaned_Untitled 5108.jpg,78.63799526,29.17447927,0.977661998
Untitled 5112.jpg,cleaned_Untitled 5112.jpg,86.15594121,28.7779513,0.976173358
Untitled 5115.jpg,cleaned_Untitled 5115.jpg,79.10226377,29.14891448,0.977715898
Untitled 5116.jpg,cleaned_Untitled 5116.jpg,77.91767229,29.21444391,0.97713352
Untitled 5117.jpg,cleaned_Untitled 5117.jpg,77.79728592,29.22115915,0.978355671
Untitled 5118.jpg,cleaned_Untitled 5118.jpg,86.30114797,28.77063788,0.976421518
